387,Raiganj ,WEST BENGAL
388,Raigarh ,CHHATTISGARH
389,Raipur ,CHHATTISGARH
390,Rajahmundry ,ANDHRA PRADESH
391,Rajapalayam ,TAMIL NADU
392,Rajarhat Gopalpur ,WEST BENGAL
393,Rajkot ,GUJARAT
394,Rajnandgaon ,CHHATTISGARH
395,Rajpur Sonarpur ,WEST BENGAL
396,Ramagundam ,ANDHRA PRADESH
397,Rampur ,UTTAR PRADESH
398,Ranchi ,JHARKHAND
399,Ranibennur ,KARNATAKA
400,Raniganj ,WEST BENGAL
401,Ratlam ,MADHYA PRADESH
402,Raurkela Industrial Township ,ORISSA
403,Raurkela Town ,ORISSA
404,Rewa ,MADHYA PRADESH
405,Rewari ,HARYANA
406,Rishra ,WEST BENGAL
407,Robertson Pet ,KARNATAKA
408,Rohtak ,HARYANA
409,Roorkee ,UTTARAKHAND
410,Rudrapur ,UTTARAKHAND
411,S.A.S. Nagar ,PUNJAB
412,Sagar ,MADHYA PRADESH
413,Saharanpur ,UTTAR PRADESH
414,Saharsa ,BIHAR
415,Salem ,TAMIL NADU
416,Sambalpur ,ORISSA
417,Sambhal ,UTTAR PRADESH
418,Sangli Miraj Kupwad ,MAHARASHTRA
419,Santipur ,WEST BENGAL
420,Sasaram ,BIHAR
421,Satara ,MAHARASHTRA
422,Satna ,MADHYA PRADESH
423,Sawai Madhopur ,RAJASTHAN
424,Secunderabad ,ANDHRA PRADESH
425,Sehore ,MADHYA PRADESH
426,Seoni ,MADHYA PRADESH
427,Serampore ,WEST BENGAL
428,Shahjahanpur ,UTTAR PRADESH
429,Shamli ,UTTAR PRADESH
430,Shikohabad ,UTTAR PRADESH
431,Shillong ,MEGHALAYA
432,Shimla ,HIMACHAL PRADESH
433,Shimoga ,KARNATAKA
434,Shivpuri ,MADHYA PRADESH
435,Sikar ,RAJASTHAN
436,Silchar ,ASSAM
437,Siliguri ,WEST BENGAL
438,Singrauli ,MADHYA PRADESH
439,Sirsa ,HARYANA
440,Sitapur ,UTTAR PRADESH
441,Siwan ,BIHAR
442,Solapur ,MAHARASHTRA
443,Sonipat ,HARYANA
444,South Dum Dum ,WEST BENGAL
445,Srikakulam ,ANDHRA PRADESH
446,Srinagar ,JAMMU & KASHMIR
447,Sujangarh ,RAJASTHAN
448,Sultan Pur Majra ,NCT OF DELHI
449,Sultanpur ,UTTAR PRADESH
450,Surat ,GUJARAT
451,Surendranagar Dudhrej ,GUJARAT
452,Suryapet ,ANDHRA PRADESH
453,Tadepalligudem ,ANDHRA PRADESH
454,Tadpatri ,ANDHRA PRADESH
455,Tambaram ,TAMIL NADU
456,Tenali ,ANDHRA PRADESH
457,Thane ,MAHARASHTRA
458,Thanesar ,HARYANA
459,Thanjavur ,TAMIL NADU
460,Thiruvananthapuram ,KERALA
461,Thoothukkudi ,TAMIL NADU
462,Thrissur ,KERALA
463,Tiruchirappalli ,TAMIL NADU
464,Tirunelveli ,TAMIL NADU
465,Tirupati ,ANDHRA PRADESH
466,Tiruppur ,TAMIL NADU
467,Tiruvannamalai ,TAMIL NADU
468,Tiruvottiyur ,TAMIL NADU
469,Titagarh ,WEST BENGAL
470,Tonk ,RAJASTHAN
471,Tumkur ,KARNATAKA
472,Udaipur ,RAJASTHAN
473,Udgir ,MAHARASHTRA
474,Udupi ,KARNATAKA
475,Ujjain ,MADHYA PRADESH
476,Ulhasnagar ,MAHARASHTRA
477,Uluberia ,WEST BENGAL
478,Unnao ,UTTAR PRADESH
479,Uttarpara Kotrung ,WEST BENGAL
480,Vadodara ,GUJARAT
481,Valsad ,GUJARAT
482,Varanasi ,UTTAR PRADESH
483,Vasai Virar City ,MAHARASHTRA
484,Vellore ,TAMIL NADU
485,Veraval ,GUJARAT
486,Vidisha ,MADHYA PRADESH
487,Vijayawada ,ANDHRA PRADESH
488,Visakhapatnam,ANDHRA PRADESH
489,Vizianagaram ,ANDHRA PRADESH
490,Warangal ,ANDHRA PRADESH
491,Wardha ,MAHARASHTRA
492,Yamunanagar ,HARYANA
493,Yavatmal ,MAHARASHTRA
